"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 20:51:06 ICT 2024","Thu Feb 29 20:51:09 ICT 2024","3023","","Swag Labs - Login: As a no_user, i should get error message","","","","When annisa login with ""no_user"" credentials",""
"passed","Thu Feb 29 20:50:56 ICT 2024","Thu Feb 29 20:50:59 ICT 2024","2688","","Swag Labs - Login: As a locked_out_user, i should get error message","","","","When annisa login with ""locked_out_user"" credentials",""
"passed","Thu Feb 29 20:51:09 ICT 2024","Thu Feb 29 20:51:09 ICT 2024","1","","Swag Labs - Login: As a no_user, i should get error message","","","","",""
"passed","Thu Feb 29 20:50:50 ICT 2024","Thu Feb 29 20:50:55 ICT 2024","4482","","Swag Labs - Login: As a standard_user, i want to login successfully","","","","When annisa login with ""standard_user"" credentials",""
"passed","Thu Feb 29 20:51:05 ICT 2024","Thu Feb 29 20:51:05 ICT 2024","24","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","Then annisa should see visual User page",""
"passed","Thu Feb 29 20:50:55 ICT 2024","Thu Feb 29 20:50:56 ICT 2024","663","","Swag Labs - Login: As a locked_out_user, i should get error message","","","","Given annisa is in the login page",""
"passed","Thu Feb 29 20:49:00 ICT 2024","Thu Feb 29 20:49:03 ICT 2024","2674","","Swag Labs - Login: As a no_password, i should get error message","","","","Given annisa is in the login page",""
"passed","Thu Feb 29 20:51:02 ICT 2024","Thu Feb 29 20:51:03 ICT 2024","556","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","Given annisa is in the login page",""
"passed","Thu Feb 29 20:50:59 ICT 2024","Thu Feb 29 20:51:02 ICT 2024","2505","","Swag Labs - Login: As a problem_user, i want to login successfully","","","","When annisa login with ""problem_user"" credentials",""
"broken","Thu Feb 29 20:49:03 ICT 2024","Thu Feb 29 20:49:03 ICT 2024","8","","Swag Labs - Login: As a no_password, i should get error message","","","","Then annisa should see error ""Epic sadface: Password is required""",""
"passed","Thu Feb 29 20:51:05 ICT 2024","Thu Feb 29 20:51:06 ICT 2024","885","","Swag Labs - Login: As a no_user, i should get error message","","","","Given annisa is in the login page",""
"passed","Thu Feb 29 20:49:03 ICT 2024","Thu Feb 29 20:49:03 ICT 2024","3","","Swag Labs - Login: As a no_password, i should get error message","","","","",""
"passed","Thu Feb 29 20:50:59 ICT 2024","Thu Feb 29 20:50:59 ICT 2024","2","","Swag Labs - Login: As a locked_out_user, i should get error message","","","","",""
"passed","Thu Feb 29 20:51:02 ICT 2024","Thu Feb 29 20:51:02 ICT 2024","1","","Swag Labs - Login: As a problem_user, i want to login successfully","","","","",""
"passed","Thu Feb 29 20:50:55 ICT 2024","Thu Feb 29 20:50:55 ICT 2024","504","","Swag Labs - Login: As a standard_user, i want to login successfully","","","","Then annisa should see home page",""
"passed","Thu Feb 29 20:50:47 ICT 2024","Thu Feb 29 20:50:50 ICT 2024","3363","","Swag Labs - Login: As a standard_user, i want to login successfully","","","","Given annisa is in the login page",""
"passed","Thu Feb 29 20:51:03 ICT 2024","Thu Feb 29 20:51:05 ICT 2024","2213","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","When annisa login with ""visual_user"" credentials",""
"passed","Thu Feb 29 20:51:05 ICT 2024","Thu Feb 29 20:51:05 ICT 2024","1","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","",""
"passed","Thu Feb 29 20:50:55 ICT 2024","Thu Feb 29 20:50:55 ICT 2024","3","","Swag Labs - Login: As a standard_user, i want to login successfully","","","","",""
"passed","Thu Feb 29 20:50:59 ICT 2024","Thu Feb 29 20:50:59 ICT 2024","229","","Swag Labs - Login: As a locked_out_user, i should get error message","","","","Then annisa should see error ""Epic sadface: Sorry, this user has been locked out.""",""
"passed","Thu Feb 29 20:49:01 ICT 2024","Thu Feb 29 20:49:01 ICT 2024","96","","Swag Labs - Login: As a no_password, i should get error message","","","","When annisa login with ""no_password"" credentials",""
"passed","Thu Feb 29 20:51:02 ICT 2024","Thu Feb 29 20:51:02 ICT 2024","16","","Swag Labs - Login: As a problem_user, i want to login successfully","","","","Then annisa should see problem page",""
"passed","Thu Feb 29 20:51:08 ICT 2024","Thu Feb 29 20:51:09 ICT 2024","380","","Swag Labs - Login: As a no_user, i should get error message","","","","Then annisa should see error ""Epic sadface: Username and password do not match any user in this service""",""
"passed","Thu Feb 29 20:50:59 ICT 2024","Thu Feb 29 20:50:59 ICT 2024","484","","Swag Labs - Login: As a problem_user, i want to login successfully","","","","Given annisa is in the login page",""
